nation,name,type,tag,alcohol
네덜란드,그롤쉬,페일 라거,"몰트, 스모키, 라이트",5
네덜란드,데스페라도스,라들러,"데킬라, 달콤, 과일, 라임",5.5
네덜란드,하이네켄,페일 라거,"곡물, 홉, 라이트, 부드러움",5
네덜란드,하이네켄 다크,다크 라거,"몰트, 카라멜",5
덴마크,써머스비,스파클링,"과일, 달콤, 스파클링",4.6
독일,5.0 오리지널,필스너,"쌉싸름, 탄산, 라이트",5
독일,바르슈타이너,필스너 라거,"대중적, 쌉싸름, 탄산",4.8
독일,바르슈타이너 더블홉,필스너 라거,"깊은, 아로마, 쌉싸름, 풍부, 진함",4.8
독일,벡스,필스너 라거,"대중적, 꽃, 쌉싸름, 담백, 깔끔",5
독일,쉐퍼 호퍼 자몽,라들러,"과일, 새콤",2.5
독일,파울라너,라거 밀맥주,"쌉싸름, 파인애플, 망고, 수도원, 구수함, 과일",5
독일,호프야거 바이젠,밀맥주,"가벼운, 청량감",5.3
독일,가펠 퀼쉬,라거,"탄산, 깔끔",4.8
독일,슈파텐,라거,"쌉싸름, 깔끔",5.2
독일,크롬바허,필스너,"쌉싸름, 탄산",4.8
미국,밀러 라이트,라거,"라이트, 은은",4.2
미국,밀러 제뉴인 드래프트,페일 라거,"옥수수, 홉, 쌉싸름, 달콤",4.6
미국,버드와이저,라거,"쌀, 라이트",5
미국,빅웨이브,골든 에일,"과일, 몰트, 깔끔",4.4
미국,쿠어스 라이트,라거,"탄산, 고소, 라이트",4.2
미국,사무엘 아담스,라거,"바디감, 카라멜, 꽃, 소나무, 레몬, 깔끔, 풍부",4.9
벨기에,듀벨,스트롱 에일,"과일, 탄산, 바나나, 아로마, 크리미, 씁쓸, 부드러움",8.5
벨기에,레페 브라운,다크 에일,"커피, 초콜릿, 바디감, 쌉싸름, 카라멜, 달콤, 흑맥주",6.5
벨기에,레페 블론드,애비 에일,"과일, 크리미",6.5
벨기에,마튼즈 라들러,라들러,"과일, 청량감, 레몬",2.3
벨기에,스텔라 아르투아,필스너,"목넘김, 라이트, 맥아, 옥수수, 크리미",5
벨기에,헤벌리 화이트,밀맥주,"과일, 수도원, 오렌지",4.8
벨기에,호가든,밀맥주,"깔끔, 라이트, 부드러움",4.9
스페인,산미구엘,페일 필스너,"몰트, 홉, 옥수수, 구수함",5
싱가포르,타이거,페일 라거,"곡물, 달콤, 청량감, 라이트",5
아일랜드,기네스 드래프트,흑맥주,"크리미, 부드러움",4.2
아일랜드,기네스 오리지널,흑맥주,"커피, 초콜릿, 드라이, 탄산, 청량감",5
영국,뉴캐슬 브라운 에일,에일,"보리, 밀, 카라멜, 견과류, 구수함",4.7
오스트리아,에델바이스,밀맥주 에일,"민트, 꽃, 허브, 크리미",5
이탈리아,페로니,페일 라거,"드라이, 청량감",5.1
인도네시아,빈땅,필스너,"홉, 설탕, 부드러움, 청량감, 깔끔",5
일본,기린 이치방,페일 라거,"탄산, 상쾌, 고소,",5
일본,산토리 프리미엄 몰트,필스너 라거,"깔끔, 다이아몬드 몰트",5.5
일본,스위토나,스파클링,"스파클링, 과일, 요구르트, 복숭아, 츄하이",3
일본,아사히 드라이블랙,흑맥주,"풍부, 묵직",5.5
일본,아사히 슈퍼드라이,드라이 라거,"깔끔, 청량감",5
일본,아사히 프라임리치,라거,"풍부, 깊은",6
일본,호로요이,스파클링,"스파클링, 과일, 포도, 복숭아, 레몬, 츄하이",3
중국,옌징,페일 라거,"귤, 부드러움",4.5
중국,칭따오,페일 라거,"탄산, 청량감",4.7
중국,하얼빈,라거,"보리, 깔끔",4.3
체코,코젤 다크,흑맥주,"훈연, 커피, 카라멜, 부드러움, 달콤, 쌉싸름",3.8
체코,필스너 우르켈,필스너 라거,"홉, 청량감, 부드러움, 홉, 맥아, 깔끔",4.4
캐나다,블루문,화이트 에일,"오렌지, 쌉싸름, 상큼, 과일",5.4
프랑스,1664 블랑,밀맥주,"과일, 달콤, 청량감",5
한국,맥스,라거,소맥,4.5
한국,카스,페일 라거,"탄산, 소맥",4.5
한국,클라우드,라거,소맥,5
한국,테라,라거,"탄산, 소맥",4.6
한국,하이트 엑스트라 콜드,라거,소맥,4.5
한국,이슬톡톡,스파클링,"달콤, 과일, 파인애플, 스파클링, 복숭아",3
한국,망고링고,스파클링,"망고, 스파클링, 달콤, 과일",2.5
한국,자몽에이슬,과일소주,"자몽, 청포도, 달콤, 자두",13
한국,제주 위트 에일 ,에일,"부드러움, 감귤",5.3
한국,오타크링거,라들러,"오렌지, 레몬, 라임, 자몽, 달콤, 과일",2
한국,에딩거,밀맥주,"부드러움, 고소함, 크리미",5.3
한국,강서 마일드 에일 ,에일,"몰트, 오렌지, 망고, 고소함",4.6
한국,달서 오렌지 에일,에일,"부드러움, 오렌지, 상큼",4.2
한국,전라 에일,에일,"깔끔, 시트러스, 꽃",4.5
오스트리아,오타크링거,라들러,"시트러스, 레몬, 오렌지, 자몽, 과일",2
덴마크,템트7,라들러,"스파클링, 과일, 꽃",4.5
독일,리퍼비,밀맥주 페일,"홉, 부드러움, 묵직, 크리미",5
한국,광화문,에일,"고소함, 깔끔, 부드러움",5
오스트리아,예거,스파클링,"자몽, 상큼, 복숭아, 과일, 스파클링, 달콤",2.5
미국,구스 아일랜드,페일 에일,"과일, 오렌지, 시트러스, 홉",5.9
덴마크,칼스버그,페일 라거,"몰트, 크리미, 곡물, 쌉싸름, 부드러움",5
싱가포르,타이거 라들러,라들러,"레몬, 스파클링, 달콤, 오렌지, 과일",2
한국,참이슬,소주,"소맥, 대중적",16.9
한국,참이슬 오리지널,소주,"소맥, 묵직, 깊은",20.1
한국,진로,소주,"소맥, 부드러움, 깔끔",16.9
한국,처음처럼,소주,"소맥, 부드러움",16.9